experiment	item	condition	contextLabel	conditionLabel	cleft	 context	text	design	qType	question
rex1	1	1	Ind	Can	Subj	Sarah, Mathieu et Mylène appellent souvent leurs grands-parents pour prendre des nouvelles	Aujourd'hui Mylène a appelé mais je ne sais pas si quelqu'un d'autre a appelé	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	1	2	Ind	Clv	Subj	Sarah, Mathieu et Mylène appellent souvent leurs grands-parents pour prendre des nouvelles	Aujourd'hui c'est Mylène qui a appelé mais je ne sais pas si quelqu'un d'autre a appelé	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	1	3	Ind	Exc	Subj	Sarah, Mathieu et Mylène appellent souvent leurs grands-parents pour prendre des nouvelles	Aujourd'hui il n'y a que Mylène qui a appelé mais je ne sais pas si quelqu'un d'autre a appelé	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	1	4	Def	Can	Subj	Sarah, Mathieu et Mylène appellent souvent leurs grands-parents pour prendre des nouvelles	Aujourd'hui Mylène a appelé mais je ne sais pas si les autres ont appelé	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	1	5	Def	Clv	Subj	Sarah, Mathieu et Mylène appellent souvent leurs grands-parents pour prendre des nouvelles	Aujourd'hui c'est Mylène qui a appelé mais je ne sais pas si les autres ont appelé	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	1	6	Def	Exc	Subj	Sarah, Mathieu et Mylène appellent souvent leurs grands-parents pour prendre des nouvelles	Aujourd'hui il n'y a que Mylène qui a appelé mais je ne sais pas si les autres ont appelé	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	2	1	Ind	Can	Subj	Le jour de Noël, Hania, Ewa et Stéphane aiment faire des biscuits.	Cette année Hania a fait des biscuits mais je ne sais pas si quelqu'un d'autre en a fait.	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	2	2	Ind	Clv	Subj	Le jour de Noël, Hania, Ewa et Stéphane aiment faire des biscuits.	Cette année c'est Hania qui a fait des biscuits mais je ne sais pas si quelqu'un d'autre en a fait.	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	2	3	Ind	Exc	Subj	Le jour de Noël, Hania, Ewa et Stéphane aiment faire des biscuits.	Cette année il n'y a que Hania qui a fait des biscuits mais je ne sais pas si quelqu'un d'autre en a fait.	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	2	4	Def	Can	Subj	Le jour de Noël, Hania, Ewa et Stéphane aiment faire des biscuits.	Cette année Hania a fait des biscuits mais je ne sais pas si les autres en ont fait.	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	2	5	Def	Clv	Subj	Le jour de Noël, Hania, Ewa et Stéphane aiment faire des biscuits.	Cette année c'est Hania qui a fait des biscuits mais je ne sais pas si les autres en ont fait.	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	2	6	Def	Exc	Subj	Le jour de Noël, Hania, Ewa et Stéphane aiment faire des biscuits.	Cette année il n'y a que Hania qui a fait des biscuits mais je ne sais pas si les autres en ont fait.	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	3	1	Ind	Can	Subj	Fred, Nono et Seb apportent souvent des croissants.	Dimanche matin Fred en a apportés mais je ne sais pas si quelqu'un d'autre en a apportés	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	3	2	Ind	Clv	Subj	Fred, Nono et Seb apportent souvent des croissants.	Dimanche matin c'est Fred qui en a apportés mais je ne sais pas si quelqu'un d'autre en a apportés	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
rex1	3	3	Ind	Exc	Subj	Fred, Nono et Seb apportent souvent des croissants.	Dimanche matin il n'y a que Fred qui en a apportés mais je ne sais pas si quelqu'un d'autre en a apportés	PseudoRandom	jm	Est-ce que le locuteur se contredit? \n (entre 1=non, pas du tout, et 7=oui, complètement)
