experiment	URposition	TypeNP	item	condition	Context	syntax	presenceToo	text	context	question	qType	design	 Time results were received.	 MD5 hash of participant's IP address.	 Controller name.	 Item number.	 Element number.	 Type.	 Group.	 Field name./ Sentence (or sentence MD5)./ Question (NULL if none).	 Field value./ Answer.	 Whether or not answer was correct (NULL if N/A).	 Time taken to answer.	Worker ID Number
veen4	object-even	Indefinite	5	7	additive	postnominal	Too	"A university professor even, too."	The director of our high school has been looking for a number of teachers for a long time. He eventually hired a number of people to teach various courses. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	41	0	0-7	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	5	7	additive	postnominal	Too	"A university professor even, too."	The director of our high school has been looking for a number of teachers for a long time. He eventually hired a number of people to teach various courses. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	41	0	0-7	NULL	Please select a number	7	NULL	8309	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	4	4	nonadditive	postnominal	NoToo	"Qatar, even."	"To host a soccer world cup, the candidate country needs to have a suitable climate. For 2022, the three candidates had unpleasant conditions. But FIFA eventually chose one. "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	30	0	0-4	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	4	4	nonadditive	postnominal	NoToo	"Qatar, even."	"To host a soccer world cup, the candidate country needs to have a suitable climate. For 2022, the three candidates had unpleasant conditions. But FIFA eventually chose one. "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	30	0	0-4	NULL	Please select a number	6	NULL	8290	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	1	2	nonadditive	prenominal	NoToo	Even Obama.	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she got to see someone high profile.  "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	4	0	0-2	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	1	2	nonadditive	prenominal	NoToo	Even Obama.	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she got to see someone high profile.  "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	4	0	0-2	NULL	Please select a number	7	NULL	9440	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	2	8	nonadditive	postnominal	Too	"Isaac even, too."	"It’s International Friendship day at school and each child is supposed to choose exactly one other student to hug. Alice has not been talking to Harry, Alfie, and Isaac for the past few months. She particularly does not like Isaac. But today, she decided that the only person she would hug is someone she didn’t normally talk to. "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	18	0	0-8	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	2	8	nonadditive	postnominal	Too	"Isaac even, too."	"It’s International Friendship day at school and each child is supposed to choose exactly one other student to hug. Alice has not been talking to Harry, Alfie, and Isaac for the past few months. She particularly does not like Isaac. But today, she decided that the only person she would hug is someone she didn’t normally talk to. "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	18	0	0-8	NULL	Please select a number	6	NULL	11670	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	7	1	additive	prenominal	NoToo	Even an ace.	"We were playing a card game where each player has five cards. The player with the highest card wins. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I had a jack. I said I did. But in fact I had some better cards in my hand."	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	51	0	0-1	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	7	1	additive	prenominal	NoToo	Even an ace.	"We were playing a card game where each player has five cards. The player with the highest card wins. Aces beat kings, kings beat queens, etc. In the end Sally asked whether I had a jack. I said I did. But in fact I had some better cards in my hand."	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	51	0	0-1	NULL	Please select a number	6	NULL	13237	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	6	5	additive	prenominal	Too	"Even an A+, too."	I took many courses last semester. The final exams were extremely difficult. I was really worried I would fail the semester. But I actually got some good grades. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	47	0	0-5	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	6	5	additive	prenominal	Too	"Even an A+, too."	I took many courses last semester. The final exams were extremely difficult. I was really worried I would fail the semester. But I actually got some good grades. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	47	0	0-5	NULL	Please select a number	6	NULL	50521	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	1	6	nonadditive	prenominal	Too	"Even Obama, too."	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she got to see someone high profile.  "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	8	0	0-6	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	1	6	nonadditive	prenominal	Too	"Even Obama, too."	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she got to see someone high profile.  "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	8	0	0-6	NULL	Please select a number	6	NULL	3886	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	3	3	additive	postnominal	NoToo	"Gary Kasparov, even."	Tom participated in a chess tournament in which he did really well. He defeated multiple internationally renowned players.  	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	21	0	0-3	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	3	3	additive	postnominal	NoToo	"Gary Kasparov, even."	Tom participated in a chess tournament in which he did really well. He defeated multiple internationally renowned players.  	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	21	0	0-3	NULL	Please select a number	6	NULL	4868	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	6	7	additive	postnominal	Too	"An A+ even, too."	I took many courses last semester. The final exams were extremely difficult. I was really worried I would fail the semester. But I actually got some good grades. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	49	0	0-7	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	6	7	additive	postnominal	Too	"An A+ even, too."	I took many courses last semester. The final exams were extremely difficult. I was really worried I would fail the semester. But I actually got some good grades. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	49	0	0-7	NULL	Please select a number	6	NULL	6110	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	1	4	nonadditive	postnominal	NoToo	"Obama, even."	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she got to see someone high profile.  "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	6	0	0-4	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	1	4	nonadditive	postnominal	NoToo	"Obama, even."	"People lined up at the climate conference to see government officials. The line was too long, so each person got to meet only one official. Nancy felt happy because she got to see someone high profile.  "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	6	0	0-4	NULL	Please select a number	6	NULL	10726	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	7	2	nonadditive	prenominal	NoToo	Even an ace.	"We were playing a card game where each player gets only one card. Aces beat kings, kings beat queens, etc.  In the end Sally asked whether I had a jack. But the only card I had was higher. "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	52	0	0-2	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Indefinite	7	2	nonadditive	prenominal	NoToo	Even an ace.	"We were playing a card game where each player gets only one card. Aces beat kings, kings beat queens, etc.  In the end Sally asked whether I had a jack. But the only card I had was higher. "	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	52	0	0-2	NULL	Please select a number	5	NULL	8545	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	3	8	nonadditive	postnominal	Too	"Gary Kasparov even, too."	Tom made it to the semi-finals in a chess tournament where he had to beat only one person to reach the final match. He did very well because he defeated an internationally renowned chess champion. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	26	0	0-8	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	3	8	nonadditive	postnominal	Too	"Gary Kasparov even, too."	Tom made it to the semi-finals in a chess tournament where he had to beat only one person to reach the final match. He did very well because he defeated an internationally renowned chess champion. 	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	26	0	0-8	NULL	Please select a number	6	NULL	4456	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	3	1	additive	prenominal	NoToo	Even Gary Kasparov.	Tom participated in a chess tournament in which he did really well. He defeated multiple internationally renowned players.  	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	19	0	0-1	NULL	How natural did you think this sentence was?	NULL	NULL	NULL	A1NM7ZPZ3NH412	
veen4	object-even	Proper N	3	1	additive	prenominal	NoToo	Even Gary Kasparov.	Tom participated in a chess tournament in which he did really well. He defeated multiple internationally renowned players.  	"How natural did you think this sentence was?\n(Between1=completely unnatural, and 6=completely natural)"	jm	Random	1460739452	dd71d40e3f214819e30ab79e71626cb1	AJ	19	0	0-1	NULL	Please select a number	7	NULL	5318	A1NM7ZPZ3NH412	
