experiment	item	condition	Attachment	Status	Animacy	Outer	Inner	text	question	qType	design	record
rcent5	1	1	Subject	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The carpenter that the craftsman that the peasant carried hurt supervised the apprentice.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	1	2	Both	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The carpenter that the craftsman hurt supervised the apprentice that the peasant carried.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	1	3	Object	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The carpenter supervised the apprentice that the craftsman that the peasant carried hurt.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	1	4	Object	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The carpenter supervised the apprentice that hurt the craftsman that carried the peasant.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	1	5	Both	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The carpenter that hut the craftsman supervised the apprentice that carried the peasant.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	2	1	Subject	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The mother that the daughter that the sister found frightened greeted the grandmother.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	2	2	Both	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The mother that the daughter frightened greeted the grandmother that the sister found.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	2	3	Object	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The mother greeted the grandmother that the daughter that the sister found frightened.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	2	4	Object	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The mother greeted the grandmother that frightened the daughter that found the sister.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	2	5	Both	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The mother that frightened the daughter greeted the grandmother that found the sister.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	3	1	Subject	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The worker that the tenant that the foreman looked for injured questioned the shepherd.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	3	2	Both	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The worker that the tenant injured questioned the shepherd that the foreman looked for.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	3	3	Object	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The worker questioned the shepherd that the tenant that the foreman looked for injured.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	3	4	Object	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The worker questioned the shepherd that injured the tenant that looked for the foreman.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	3	5	Both	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The worker that injured the tenant questioned the shepherd that looked for the foreman.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	4	1	Subject	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The trader that the businessman that the professor hired confused annoyed the investor.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	4	2	Both	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The trader that the businessman confused annoyed the investor that the professor hired.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	4	3	Object	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The trader annoyed the investor that the businessman that the professor hired confused.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	4	4	Object	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The trader annoyed the investor that confused the businessman that hired the professor.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	4	5	Both	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The trader that confused the businessman annoyed the investor that hired the professor.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	5	1	Subject	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The painter that the musician that the father missed sheltered cooked for the artist.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	5	2	Both	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The painter that the musician sheltered cooked for the artist that the father missed.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	5	3	Object	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The painter cooked for the artist that the musician that the father missed sheltered.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	5	4	Object	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The painter cooked for the artist that sheltered the musician that missed the father.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	5	5	Both	Grammatical	Animate	SubjectExtracted	SubjectExtracted	The painter that sheltered the musician cooked for the artist that missed the father.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	6	1	Subject	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The saxophonist that the trumpeter that the conductor brought along distracted thanked the violinist.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
rcent5	6	2	Both	Grammatical	Animate	ObjectExtracted	ObjectExtracted	The saxophonist that the trumpeter distracted thanked the violinist that the conductor brought along.	Do you think this sentence is an acceptable sentence of English?\n\n(1=completely unacceptable; 8=completely acceptable)	jm	LatinSquare	y
