experiment	URposition	TypeNP	item	condition	Context	particle	presenceToo	syntax	contextFile	wavFile	text	context	question	design	qType
addmanip	object-even	Proper N	1	1	additive	hattaHam	Too	prenominal	evenContext_item1_additive.wav	evenResponse_item1_6fullpretoo.wav	حتی اوباما رو هم دید. 	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. هر کس چندین سیاستمدار معروف را دید. سارا خیلی خوشحال بود چون تعدادی از سیاستمداران بالا رتبه را دید. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	1	2	nonadditive	hattaHam	Too	prenominal	evenContext_item1_nonadditive.wav	evenResponse_item1_6fullpretoo.wav	حتی اوباما رو هم دید. 	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. صف خیلی طولانی بود. به خاطر همین، هر نفر موفق شد که فقط یک سیاستمدار را ببیند. سارا خیلی خوشحال بود چون بالاخره یک شخص عالی رتبه رو دید.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	1	3	additive	hatta 	NoToo	prenominal	evenContext_item1_additive.wav	evenResponse_item1_5fullprenotoo.wav	حتی اوباما رو دید. 	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. هر کس چندین سیاستمدار معروف را دید. سارا خیلی خوشحال بود چون تعدادی از سیاستمداران بالا رتبه را دید. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	1	4	nonadditive	hatta 	NoToo	prenominal	evenContext_item1_nonadditive.wav	evenResponse_item1_5fullprenotoo.wav	حتی اوباما رو دید. 	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. صف خیلی طولانی بود. به خاطر همین، هر نفر موفق شد که فقط یک سیاستمدار را ببیند. سارا خیلی خوشحال بود چون بالاخره یک شخص عالی رتبه رو دید.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	1	5	additive	hattaHam	Too	postnominal	evenContext_item1_additive.wav	evenResponse_item1_8fullposttoo.wav	اوباما رو هم حتی دید.	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. هر کس چندین سیاستمدار معروف را دید. سارا خیلی خوشحال بود چون تعدادی از سیاستمداران بالا رتبه را دید. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	1	6	nonadditive	hattaHam	Too	postnominal	evenContext_item1_nonadditive.wav	evenResponse_item1_8fullposttoo.wav	اوباما رو هم حتی دید.	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. صف خیلی طولانی بود. به خاطر همین، هر نفر موفق شد که فقط یک سیاستمدار را ببیند. سارا خیلی خوشحال بود چون بالاخره یک شخص عالی رتبه رو دید.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	1	7	additive	hatta 	NoToo	postnominal	evenContext_item1_additive.wav	evenResponse_item1_7fullpostnotoo.wav	اوباما رو حتی دید.	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. هر کس چندین سیاستمدار معروف را دید. سارا خیلی خوشحال بود چون تعدادی از سیاستمداران بالا رتبه را دید. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	1	8	nonadditive	hatta 	NoToo	postnominal	evenContext_item2_nonadditive.wav	evenResponse_item1_7fullpostnotoo.wav	اوباما رو حتی دید.	مردم برای دیدن سیاستمداران پشت در سالن کنفرانس صف کشیده بودند. صف خیلی طولانی بود. به خاطر همین، هر نفر موفق شد که فقط یک سیاستمدار را ببیند. سارا خیلی خوشحال بود چون بالاخره یک شخص عالی رتبه رو دید.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	1	additive	hattaHam	Too	prenominal	evenContext_item2_additive.wav	evenResponse_item2_6fullpretoo.wav	حتی ندا رو هم بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید حداقل یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم خیلی از همکلاسی هایش را بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	2	nonadditive	hattaHam	Too	prenominal	evenContext_item2_nonadditive.wav	evenResponse_item2_6fullpretoo.wav	حتی ندا رو هم بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید فقط یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم بالاخره یک نفر رو بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	3	additive	hatta 	NoToo	prenominal	evenContext_item2_additive.wav	evenResponse_item2_5fullprenotoo.wav	حتی ندا رو بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید حداقل یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم خیلی از همکلاسی هایش را بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	4	nonadditive	hatta 	NoToo	prenominal	evenContext_item2_nonadditive.wav	evenResponse_item2_5fullprenotoo.wav	حتی ندا رو بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید فقط یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم بالاخره یک نفر رو بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	5	additive	hattaHam	Too	postnominal	evenContext_item2_additive.wav	evenResponse_item2_8fullposttoo.wav	ندا رو هم حتی بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید حداقل یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم خیلی از همکلاسی هایش را بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	6	nonadditive	hattaHam	Too	postnominal	evenContext_item2_nonadditive.wav	evenResponse_item2_8fullposttoo.wav	ندا رو هم حتی بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید فقط یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم بالاخره یک نفر رو بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	7	additive	hatta 	NoToo	postnominal	evenContext_item2_additive.wav	evenResponse_item2_7fullpostnotoo.wav	ندا رو حتی بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید حداقل یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم خیلی از همکلاسی هایش را بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	2	8	nonadditive	hatta 	NoToo	postnominal	evenContext_item2_nonadditive.wav	evenResponse_item2_7fullpostnotoo.wav	ندا رو حتی بغل کرد.	امروز روز جهانی دوستی بود. تو کلاس ما، هر دانش آموز باید فقط یک نفر دیگر را به رسم دوستی بغل می کرد. مریم  تو چند ماه گذشته با سارا و ستاره و ندا صحبت نمی کند، مخصوصا با ندا چون او را اصلا دوست نداره. اما امروز مریم بالاخره یک نفر رو بغل کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	1	additive	hattaHam	Too	prenominal	evenContext_item3_additive.wav	evenResponse_item3_6fullpretoo.wav	حتی کاسپاروف رو هم شکست داد.	آرش تو مسابقات شطرنج شرکت کرد و خیلی خوب عمل کرد. او چندین شطرنج باز معروف را شکست داد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	2	nonadditive	hattaHam	Too	prenominal	evenContext_item3_nonadditive.wav	evenResponse_item3_6fullpretoo.wav	حتی کاسپاروف رو هم شکست داد.	آرش تو مسابقه ی نیمه نهایی شطرنج، باید فقط یک نفر را شکست می داد تا به فینال برسد. او تو این مسابقه خیلی خوش درخشید، چون یک قهرمان را شکست داد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	3	additive	hatta 	NoToo	prenominal	evenContext_item3_additive.wav	evenResponse_item3_5fullprenotoo.wav	حتی کاسپاروف رو شکست داد.	آرش تو مسابقات شطرنج شرکت کرد و خیلی خوب عمل کرد. او چندین شطرنج باز معروف را شکست داد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	4	nonadditive	hatta 	NoToo	prenominal	evenContext_item3_nonadditive.wav	evenResponse_item3_5fullprenotoo.wav	حتی کاسپاروف رو شکست داد.	آرش تو مسابقه ی نیمه نهایی شطرنج، باید فقط یک نفر را شکست می داد تا به فینال برسد. او تو این مسابقه خیلی خوش درخشید، چون یک قهرمان را شکست داد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	5	additive	hattaHam	Too	postnominal	evenContext_item3_additive.wav	evenResponse_item3_8fullposttoo.wav	کاسپاروف رو هم حتی شکست داد.	آرش تو مسابقات شطرنج شرکت کرد و خیلی خوب عمل کرد. او چندین شطرنج باز معروف را شکست داد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	6	nonadditive	hattaHam	Too	postnominal	evenContext_item3_nonadditive.wav	evenResponse_item3_8fullposttoo.wav	کاسپاروف رو هم حتی شکست داد.	آرش تو مسابقه ی نیمه نهایی شطرنج، باید فقط یک نفر را شکست می داد تا به فینال برسد. او تو این مسابقه خیلی خوش درخشید، چون یک قهرمان را شکست داد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	7	additive	hatta 	NoToo	postnominal	evenContext_item3_additive.wav	evenResponse_item3_7fullpostnotoo.wav	کاسپاروف رو حتی شکست داد.	آرش تو مسابقات شطرنج شرکت کرد و خیلی خوب عمل کرد. او چندین شطرنج باز معروف را شکست داد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	3	8	nonadditive	hatta 	NoToo	postnominal	evenContext_item3_nonadditive.wav	evenResponse_item3_7fullpostnotoo.wav	کاسپاروف رو حتی شکست داد.	آرش تو مسابقه ی نیمه نهایی شطرنج، باید فقط یک نفر را شکست می داد تا به فینال برسد. او تو این مسابقه خیلی خوش درخشید، چون یک قهرمان را شکست داد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	4	1	additive	hattaHam	Too	prenominal	evenContext_item4_additive.wav	evenResponse_item4_6fullpretoo.wav	حتی قطر رو هم انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. هیچ یک از کشورهای کاندید برای سه جام جهانی آینده، شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و سه کشو رو انتخاب کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	4	2	nonadditive	hattaHam	Too	prenominal	evenContext_item4_nonadditive.wav	evenResponse_item4_6fullpretoo.wav	حتی قطر رو هم انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. برای جام جهانی 2022، هیچ یک از کشورهای کاندید شده شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و یک کشور رو انتخاب کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	4	3	additive	hatta 	NoToo	prenominal	evenContext_item4_additive.wav	evenResponse_item4_5fullprenotoo.wav	حتی قطر رو انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. هیچ یک از کشورهای کاندید برای سه جام جهانی آینده، شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و سه کشو رو انتخاب کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	4	4	nonadditive	hatta 	NoToo	prenominal	evenContext_item4_nonadditive.wav	evenResponse_item4_5fullprenotoo.wav	حتی قطر رو انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. برای جام جهانی 2022، هیچ یک از کشورهای کاندید شده شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و یک کشور رو انتخاب کرد. 	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
addmanip	object-even	Proper N	4	5	additive	hattaHam	Too	postnominal	evenContext_item4_additive.wav	evenResponse_item4_8fullposttoo.wav	قطر رو هم حتی انتخاب کرد.	  برای میزبانی جام جهانی فوتبال، کشور کاندید می بایست آب و هوای خوبی داشته باشد. هیچ یک از کشورهای کاندید برای سه جام جهانی آینده، شرایط آب و هوایی خوبی نداشتند. اما فیفا امسال به مسئله آب و هوای میزبان اهمیت نداد و سه کشو رو انتخاب کرد.	How natural did you think this sentence was?\n(Between1=completely unnatural, and 7=completely natural)	random	jm
