experiment	item	condition	instructions	practice	contextFile	conditionLabel	qType	question	design
rhyme14	1	1	instructions.txt	no	1.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	1	2	instructions.txt	no	1.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	1	3	instructions.txt	no	1.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	2	1	instructions.txt	no	2.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	2	2	instructions.txt	no	2.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	2	3	instructions.txt	no	2.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	3	1	instructions.txt	no	3.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	3	2	instructions.txt	no	3.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	3	3	instructions.txt	no	3.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	4	1	instructions.txt	no	4.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	4	2	instructions.txt	no	4.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	4	3	instructions.txt	no	4.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	5	1	instructions.txt	no	5.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	5	2	instructions.txt	no	5.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	5	3	instructions.txt	no	5.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	6	1	instructions.txt	no	6.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	6	2	instructions.txt	no	6.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	6	3	instructions.txt	no	6.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	7	1	instructions.txt	no	7.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	7	2	instructions.txt	no	7.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	7	3	instructions.txt	no	7.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	8	1	instructions.txt	no	8.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	8	2	instructions.txt	no	8.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	8	3	instructions.txt	no	8.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	9	1	instructions.txt	no	9.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	9	2	instructions.txt	no	9.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	9	3	instructions.txt	no	9.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	10	1	instructions.txt	no	10.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	10	2	instructions.txt	no	10.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	10	3	instructions.txt	no	10.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	11	1	instructions.txt	no	11.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	11	2	instructions.txt	no	11.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	11	3	instructions.txt	no	11.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	12	1	instructions.txt	no	12.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	12	2	instructions.txt	no	12.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	12	3	instructions.txt	no	12.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	13	1	instructions.txt	no	13.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	13	2	instructions.txt	no	13.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	13	3	instructions.txt	no	13.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	14	1	instructions.txt	no	14.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	14	2	instructions.txt	no	14.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	14	3	instructions.txt	no	14.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	15	1	instructions.txt	no	15.B.mp3	bad	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	15	2	instructions.txt	no	15.G.mp3	good	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
rhyme14	15	3	instructions.txt	no	15.I.mp3	identity	jm	How good was this couplet in terms how well the words rhymed?\n\n(between 1=very bad and 7=very good)	LatinSquare
